FEEC essencial                             pico en producción                        altitud  distancia
 95. Mont-roig                                → Mont-roig                                 2864 m     14 m
 96. Pic de Certascan                         → Pic de Certascan                          2853 m      4 m
 97. Pic de Moredo                            → Pic de Moredo                             2766 m      1 m
 98. Pic de Sotllo                            → Pic de Sotllo                             3072 m      0 m
 99. Pica d’Estats                            → Pica d'Estats                             3143 m      2 m
100. Torreta de l’Orri                        → Torreta de l'Orri                         2438 m     15 m
101. Tuc de la Llança                         → Tuc de la Llança                          2659 m      1 m
102. Tuc de Ratera                            → Tuc de Ratera                             2861 m     15 m
103. La Fita Alta                             → la Fita Alta                               286 m     31 m
104. Sant Patllarí                            → Sant Patllari                              646 m      0 m
105. Roca Corbatera                           → Roca Corbatera                            1163 m      1 m
106. La Picossa                               → la Picossa                                 496 m     17 m
107. La Tossa (Tivissa)                       → la Tossa                                   718 m      2 m
108. Lo Tormo                                 → lo Piló                                    523 m      1 m
109. Balandrau                                → el Balandrau                              2585 m      4 m
110. Bastiments                               → Bastiments                                2881 m      1 m
111. Costa Pubilla o Pla de Pujalts           → Cim del Plà de Pujalts o Costa Pubilla    2056 m      2 m
112. Costabona                                → Costabona                                 2465 m      1 m
113. Puigmal                                  → Puigmal d'Err                             2910 m      0 m
114. Taga                                     → Taga                                      2040 m      2 m
115. Tossal de la Creu                        → Tossal de la Creu                          658 m      1 m
116. Punta de Montmeneu                       → Punta de Montmaneu                         495 m      0 m
117. Les Agudes                               → les Agudes                                1705 m      1 m
118. Sant Miquel de Solterra                  → Sant Miquel de Solterra                   1209 m     12 m
119. Turó de Montsoriu                        → Montsoriu                                  633 m     41 m
120. El Cogul                                 → el Cogul                                  1526 m      1 m
121. Puig de les Morreres                     → Puig de les Morreres                      2212 m     37 m
122. La Mola                                  → la Mola                                    317 m      1 m
123. Roques de Benet                          → el Castell                                1017 m      1 m
124. Santa Bàrbara                            → Muntanya de Santa Bàrbara                  752 m      1 m
125. Pilar d’Almenara                         → lo Pilar d'Almenara                        459 m     11 m
126. Maubèrme                                 → Pic de Maubermé / Tuc de Maubèrme         2882 m      0 m
127. Montardo                                 → Montardo                                  2833 m      1 m
128. Montcorbison                             → Montcorbison                              2173 m      1 m
129. Montlude                                 → Montlude                                  2518 m      0 m
130. Tuc de Molieres                          → Tuc de Molières                           3010 m      1 m
131. Tuc deth Port de Vielha                  → Tuc deth Pòrt de Vielha                   2606 m      0 m
132. Castellsapera                            → Castellsapera                              939 m      1 m
133. La Mola de Sant Llorenç del Munt         → la Mola                                   1103 m     26 m
134. Puig de la Creu                          → Puig de la Creu                            668 m     30 m
135. Sant Sadurní de Gallifa                  → la Mola                                    942 m      1 m
136. Pic del Vent                             → Pic del Vent                               816 m      3 m
137. Tagamanent                               → Tagamanent                                1058 m     22 m
138. Casamanya Nord                           → Casamanya Nord                            2750 m      0 m
139. Comapedrosa                              → Pic de Comapedrosa                        2943 m      0 m
140. Pic de la Serrera                        → Pic de la Serrera                         2912 m      0 m
141. Pic Negre d’Envalira                     → Pic Negre d'Envalira                      2822 m      0 m
142. Tristaina                                → Tristaina / Tristagne                     2878 m     27 m
143. Cambra d’Ase                             → Cambre d'Aze                              2750 m    146 m
144. Canigó                                   → Pic du Canigou                            2785 m      0 m
145. Carlit                                   → Pic Carlit                                2921 m      2 m
146. Puig de Tretzevents                      → Puig dels Tres Vents                      2731 m     20 m
147. Puig Peric                               → Pic Péric                                 2810 m      8 m
148. Roc de Madres                            → Pic de Madrès                             2469 m      1 m
149. Torre d’Eina                             → La Tour d’Eyne                            2831 m      1 m
150. Torre de Madeloc                         → Madeloc                                    670 m     30 m
